Question,auth,lib
"I’d always support my country, whether it was right or wrong.",28,100
"No one chooses their country of birth, so it’s foolish to be proud of it.",100,57
"Our race has many superior qualities, compared with other races.",0,100
The enemy of my enemy is my friend.,100,100
Military action that defies international law is sometimes justified.,100,100
There is now a worrying fusion of information and entertainment.,100,100
"Abortion, when the woman’s life is not threatened, should always be illegal.",85,100
All authority should be questioned.,71,100
An eye for an eye and a tooth for a tooth.,85,100
Schools should not make classroom attendance compulsory.,85,100
"All people have their rights, but it is better for all of us that different sorts of people should keep to their own kind.",0,100
Good parents sometimes have to spank their children.,71,100
It’s natural for children to keep some secrets from their parents.,85,100
Possessing marijuana for personal use should not be a criminal offence.,100,100
The prime function of schooling should be to equip the future generation to find jobs.,85,100
People with serious inheritable disabilities should not be allowed to reproduce.,14,100
The most important thing for children to learn is to accept discipline.,100,100
There are no savage and civilised peoples; there are only different cultures.,14,100
"Those who are able to work, and refuse the opportunity, should not expect society’s support.",100,85
"When you are troubled, it’s better not to think about it, but to keep busy with more cheerful things.",57,100
First-generation immigrants can never be fully integrated within their new country.,0,100
Our civil liberties are being excessively curbed in the name of counter-terrorism.,100,100
A significant advantage of a one-party state is that it avoids all the arguments that delay progress in a democratic political system.,42,100
"Although the electronic age makes official surveillance easier, only wrongdoers need to be worried.",71,100
The death penalty should be an option for the most serious crimes.,100,100
"In a civilised society, one must always have people above to be obeyed and people below to be commanded.",85,100
Abstract art that doesn’t represent anything shouldn’t be considered art at all.,28,100
"In criminal justice, punishment should be more important than rehabilitation.",85,100
It is a waste of time to try to rehabilitate some criminals.,71,100
The businessperson and the manufacturer are more important than the writer and the artist.,71,100
"Mothers may have careers, but their first duty is to be homemakers.",42,100
"Almost all politicians promise economic growth, but we should heed the warnings of climate science that growth is detrimental to our efforts to curb global warming.",100,57
Making peace with the establishment is an important aspect of maturity.,85,100
Astrology accurately explains many things.,85,100
You cannot be moral without being religious.,28,100
Some people are naturally unlucky.,42,100
It is important that my child’s school instills religious values.,100,100
Sex outside marriage is usually immoral.,71,100
"A same sex couple in a stable, loving relationship should not be excluded from the possibility of child adoption.",28,100
"Pornography, depicting consenting adults, should be legal for the adult population.",85,85
What goes on in a private bedroom between consenting adults is no business of the state.,85,85
No one can feel naturally homosexual.,0,100
These days openness about sex has gone too far.,57,100
Average,66,96
Std,32.8,9.5
Min,0,9
