Question,left,right
"If economic globalisation is inevitable, it should primarily serve humanity rather than the interests of trans-national corporations.",85,28
People are ultimately divided more by class than by nationality.,100,85
Controlling inflation is more important than controlling unemployment.,100,100
"Because corporations cannot be trusted to voluntarily protect the environment, they require regulation.",85,100
"“from each according to his ability, to each according to his need” is a fundamentally good idea.",100,85
"The freer the market, the freer the people.",100,100
"It’s a sad reflection on our society that something as basic as drinking water is now a bottled, branded consumer product.",100,100
Land shouldn’t be a commodity to be bought and sold.,100,100
It is regrettable that many personal fortunes are made by people who simply manipulate money and contribute nothing to their society.,100,85
Protectionism is sometimes necessary in trade.,100,100
The only social responsibility of a company should be to deliver a profit to its shareholders.,100,85
The rich are too highly taxed.,100,100
Those with the ability to pay should have access to higher standards of medical care.,100,100
Governments should penalise businesses that mislead the public.,100,71
Taxpayers should not be expected to prop up any theatres or museums that cannot survive on a commercial basis.,100,100
"What’s good for the most successful corporations is always, ultimately, good for all of us.",100,100
"No broadcasting institution, however independent its content, should receive public funding.",100,71
Charity is better than social security as a means of helping the genuinely disadvantaged.,100,85
Average,98,88
Std,4.59,17.25
Min,4,17
